,,open,high,low,close,volume,value,SMA_5,EMA_5,SMA_10,EMA_10,SMA_20,EMA_20,SMA_60,EMA_60,SMA_120,EMA_120,SMA_50,SMA_200,Signal,RSI_7,RSI_14,RSI_21,STOCHk_14_3_3,STOCHd_14_3_3,MACD,Signal_Line,MACD_Histogram,Middle_Band,Upper_Band,Lower_Band
daily,2023-03-07 09:00:00,29769000.0,29978000.0,29250000.0,29579000.0,7624.3543545,227062074248.05887,29775400.0,29919500.38336719,30465000.0,30296391.932344206,30921900.0,30921900.0,,,,,,,0,24.14215105871767,31.942361235807073,,11.913003450547151,11.409552249794286,-247694.4812204279,-39750.54215936882,-207943.9390610591,30921900.0,32446174.17066892,29397625.82933108
daily,2023-03-08 09:00:00,29579000.0,29660000.0,29000000.0,29023000.0,5501.29398149,161634502890.82196,29638200.0,29620666.922244795,30239400.0,30064866.12646344,30850500.0,30741052.38095238,,,,,,,0,17.886458974284597,26.762993179178974,,7.0586830295242455,10.150976131563256,-336295.3743575029,-99059.50859899566,-237235.86575850725,30850500.0,32586697.963488337,29114302.036511663
daily,2023-03-09 09:00:00,29018000.0,29320000.0,27415000.0,27604000.0,9841.87622634,280760039643.61127,29191400.0,28948444.614829864,29874300.0,29617435.921651904,30648650.0,30442285.487528343,,,,,,,0,10.096606580923327,18.51266811933422,22.518517377982498,5.731169797651294,8.234285425907563,-515076.18380270526,-182262.84363973758,-332813.3401629677,30648650.0,32869049.421156853,28428250.578843147
daily,2023-03-10 09:00:00,27604000.0,27605000.0,26707000.0,27343000.0,9730.63224025,263312710191.7824,28663600.0,28413296.409886576,29506200.0,29203902.117715195,30426350.0,30147115.441097073,,,,,,,0,9.233660498106678,17.447282189042497,21.42788013467592,6.02726585492717,6.272372894034237,-670097.317313306,-279829.7383744513,-390267.57893885474,30426350.0,33024199.41624292,27828500.58375708
daily,2023-03-11 09:00:00,27341000.0,28023000.0,26870000.0,27737000.0,6228.73937386,171121003248.74008,28257200.0,28187864.273257717,29169300.0,28937192.641766977,30241450.0,29917580.637183066,,,,,,,0,21.108813633182493,24.509939182246576,27.02973038896961,12.711858223710612,8.156764625429693,-752485.9852510914,-374360.98774977936,-378124.99750131206,30241450.0,33054516.16570453,27428383.83429547
daily,2023-03-12 09:00:00,27722000.0,29300000.0,27167000.0,29199000.0,6122.0855742,171678983728.68433,28181200.0,28524909.515505146,28978300.0,28984793.979627524,30107250.0,29849144.386022773,,,,,,,0,49.63489353250417,43.743024329385854,42.893003290840234,28.016979987871437,15.58536802216974,-691833.3919231333,-437855.4685844502,-253977.9233386831,30107250.0,32845678.04504605,27368821.95495395
daily,2023-03-13 09:00:00,29190000.0,32000000.0,28855000.0,31676000.0,13888.83820988,423405493346.776,28711800.0,29575273.010336764,29175000.0,29474104.16514979,30104250.0,30023130.634972982,,,,,,,0,70.62788278770014,61.59567291169752,58.81913339857008,55.02445705319004,31.917765088257365,-438833.97103172913,-438051.169073906,-782.8019578231033,30104250.0,32835286.57783518,27373213.42216482
daily,2023-03-14 09:00:00,31676000.0,34469000.0,31579000.0,32490000.0,17872.07887712,587877889909.5271,29689000.0,30546848.673557844,29440200.0,30022448.86239528,30147800.0,30258070.574499365,,,,,,,0,74.67494686230788,65.47328705584067,62.43408591206118,72.91888852060359,51.98677518722169,-170679.62166061252,-384576.85959124734,213897.23793063482,30147800.0,33005387.027730323,27290212.972269677
daily,2023-03-15 09:00:00,32491000.0,33500000.0,32000000.0,32511000.0,11093.60434797,362915591045.45746,30722600.0,31201565.782371897,29693100.0,30474912.705596138,30203450.0,30472635.2816899,,,,,,,0,74.77953911716956,65.56987049381655,62.52320152273037,81.05241472895406,69.66525343424924,43033.09789409116,-299054.86809417966,342087.9659882708,30203450.0,33203356.76872676,27203543.23127324
daily,2023-03-16 09:00:00,32505000.0,33455000.0,32307000.0,33335000.0,6814.43349526,224269789230.2731,31842200.0,31912710.52158127,30049700.0,30994928.577305928,30326350.0,30745241.44533848,,,,,,,0,78.78961366432084,69.20949693414659,65.85993407312137,78.222966589367,77.39808994630822,275713.6263441406,-184101.16920651562,459814.7955506563,30326350.0,33628604.11212593,27024095.887874067
